Power station,Operator,Establishment Date,Location,District,State,Reactor Units (MW)(including under construction),Installed Capacity(MW),Under construction(MW),Coordinates
Tarapur Atomic Power Station,NPCIL,"October 28, 1969",Tarapur,Palghar,Maharashtra,"2 x 160, 2 x 540",1400,-,19°49′51″N 72°39′30″E﻿ / ﻿19.83083°N 72.65833°E
Kakrapar Atomic Power Station,NPCIL,"May 6, 1993",Kakrapar,Surat,Gujarat,"2 x 220, 2 x 700",440,1400,21°14′09″N 73°21′03″E﻿ / ﻿21.23583°N 73.35083°E
Southern,,,,,2,8,1840,1400,
Kudankulam Nuclear Power Plant,NPCIL,"October 22, 2013[14]",Kudankulam,Tirunelveli,Tamil Nadu,"4 x 1,000[15]",2000,2000,08°10′03″N 77°42′46″E﻿ / ﻿8.16750°N 77.71278°E
Kaiga Nuclear Power Plant,NPCIL,"November 16, 2000",Kaiga,Uttara Kannada,Karnataka,4 x 220,880,-,14°51′53″N 74°26′19″E﻿ / ﻿14.86472°N 74.43861°E
Madras Atomic Power Station,NPCIL,"January 24, 1984",Kalpakkam,Kancheepuram,Tamil Nadu,"2 x 220, 1 x 500",440,500,12°33′27″N 80°10′31″E﻿ / ﻿12.55750°N 80.17528°E
Western,,,,,3,11,3320,2500,
Rajasthan Atomic Power Station,NPCIL,"December 16, 1973",Rawatbhata,Chittogarh,Rajasthan,"1 x 200, 4 x 220, 2 x 700",1080,1400,24°52′20″N 75°36′50″E﻿ / ﻿24.87222°N 75.61389°E
Rajasthan Atomic Power Station,Department of Atomic Energy (DAE),"December 16, 1973",Rawatbhata,Chittogarh,Rajasthan,1 x 100$,-,,24°52′20″N 75°36′50″E﻿ / ﻿24.87222°N 75.61389°E
Narora Atomic Power Station,NPCIL,"January 1, 1991",Narora,Bulandshahr,Uttar Pradesh,2 x 220,440,-,28°09′26″N 78°24′34″E﻿ / ﻿28.15722°N 78.40944°E
Gorakhpur Nuclear Power Plant,NPCIL,,Fatehabad,Fatehabad,Haryana,4 x 700,-,2800,29°26′59″N 75°40′48″E﻿ / ﻿29.44972°N 75.68000°E
Northern,,,,,3,13,1520,4200,
TOTAL,,,,,8,32,6680,8100,
