Name,Location,State,Capacity(MW),Commissioned,Coordinates
Kurnool Ultra Mega Solar Park,Kurnool District,Andhra Pradesh,1000,"December, 2017",15°40′53″N 78°17′01″E﻿ / ﻿15.681522°N 78.283749°E
Kamuthi Solar Power Project,Kamuthi,Tamil Nadu,648,2016,9°21′16″N 78°23′4″E﻿ / ﻿9.35444°N 78.38444°E
Pavagada Solar Park,Tumkur District,Karnataka,2050,2017,14°05′49″N 77°16′13″E﻿ / ﻿14.09694°N 77.27028°E
NP Kunta,Ananthapur district,Andhra Pradesh,400,2018,14°01′N 78°26′E﻿ / ﻿14.017°N 78.433°E
Gujarat solar park 1,"Charanka village, Patan district",Gujarat,221,2012,23°54′N 71°12′E﻿ / ﻿23.900°N 71.200°E
Welspun Solar MP project,"Bhagwanpur, Neemuch",Madhya Pradesh,151,2014,24°41′26.52″N 75°8′4.92″E / 24.6907°N 75.1347°E
ReNew Power,"Dichpally, Nizamabad",Telangana,143,2017[60],18°4′59.88″ N 78°12′0″E﻿ / ﻿18.6045°N 78.2106°E
Neyveli Solar Power Project,Neyveli,Tamil Nadu,130,2018,11°31′59.9″N 79°28′59.87″E / 11.533307°N 79.483297°E
Green Energy Development Corporation Ltd (GEDCOL),Manamunda,Odisha,50,2014,
Welspun Energy Rajasthan Solar Project,Phalodhi,Rajasthan,50,2013,
Green Energy Development Corporation Ltd (GEDCOL),,Odisha,48,2014,
Vikram Solar and IL&FS Energy Development Co Ltd,,Madhya Pradesh,40,2015,
Bitta Solar Power Plant (Adani Power),"Bitta, Kutch District",Gujarat,40,2012,
Dhirubhai Ambani Solar Park,Pokhran,Rajasthan,40,2012,
Moser Baer - Patan,,Gujarat,30,2011,
Mithapur Solar Power Plant (Tata Power) - Mithapur,,Gujarat,25,2012,
Green Energy Development Corporation Ltd (GEDCOL),Rengali,Odisha,20,2014,
CIAL Solar Power Project,Kochi,Kerala,13,2013,
Sunark Solar,Khurda,Odisha,10,2011,
NTPC Limited,Kaniha,Odisha,10,2014,
Raajratna Energy Holdings - Bolangir Solar Power Project,Balangir,Odisha,10,2011,
"Azure Power - Sabarkantha, Khadoda village",,Gujarat,10,2011,
Green Infra Solar Enerdfdfsdfsdfgy Limited,Rajkot,Gujarat,10,2011,
Waa Solar Power Plant (Madhav Power) - Surendranagar,,Gujarat,10,2011,
