State,Coal,Lignite,Gas,Diesel,Sub-TotalThermal,Nuclear(in MW),Hydel,OtherRenewable,Sub-TotalRenewable
Maharashtra,24966,0,3207.08,0,28173.08,1400,3047,9871.64,12918.64
Gujarat,14692,1540,7551.41,0,23783.41,440,1990,11826.48,13816.48
Madhya Pradesh,21150,0,0,0,21150,0,2235,5180.78,7415.78
Chhattisgarh,23928,0,0,0,23928,0,120,560.8,680.8
Goa,0,0,48,0,48,0,0,5.17,5.17
Daman & Diu,0,0,0,0,0,0,0,34.37,34.37
Dadra & Nagar Havelli,0,0,0,0,0,0,0,5.46,5.46
Tamil Nadu,9520,3140,1027.18,211.7,13898.88,2440,2178.2,14831.37,17009.57
Karnataka,9480,0,0,25.2,9505.2,880,3644.2,15315.7,18959.9
Andhra Pradesh,11590,0,4898.54,36.8,16525.34,0,1610,8505.52,10115.52
Telangana,7032.5,0,0,0,7032.5,0,2405.6,4357.77,6763.37
Kerala,0,0,533.58,159.96,693.54,0,1856.5,433.63,2290.13
Puducherry,0,0,32.5,0,32.5,0,0,7.54,7.54
Lakshadweep,0,0,0,0,0,0,0,0.75,0.75
Uttar Pradesh,22409,0,1493.14,0,23902.14,440,501.6,3350.46,3852.06
Rajasthan,8240,1580,1023.13,0,10843.13,1180,411,9834.14,10245.14
Himachal Pradesh,0,0,0,0,0,0,9809.02,963.07,10772.09
Punjab,5680,0,0,0,5680,0,1096.3,1604.85,2701.15
Haryana,5330,0,431.59,0,5761.59,0,0,538.51,538.51
Uttarakhand,0,0,450,0,450,0,3756.35,662.5,4418.85
Jammu & Kashmir,0,0,175,0,175,0,3449,205.42,3653.42
NCT of Delhi,0,0,2208.4,0,2208.4,0,0,228.46,228.46
Chandigarh,0,0,0,0,0,0,0,42.94,42.94
West Bengal,14177,0,100,0,14277,0,1341.2,568.23,1909.43
Odisha,9800,0,0,0,9800,0,2142.25,547.32,2689.57
Bihar,6390,0,0,0,6390,0,0,348.75,348.75
Jharkhand,4460,0,0,0,4460,0,210,47.41,257.41
Sikkim,0,0,0,0,0,0,2169,52.18,2221.18
Andaman & Nicobar Island,0,0,0,40.05,40.05,0,0,34.47,34.47
Assam,750,0,644.86,0,1394.86,0,350,78.84,428.84
Tripura,0,0,1132.1,0,1132.1,0,0,25.42,25.42
Arunanchal Pradesh,0,0,0,0,0,0,815,136.72,951.72
Meghalaya,0,0,0,0,0,0,322,46.45,368.45
Manipur,0,0,0,36,36,0,105,11.81,116.81
Nagaland,0,0,0,0,0,0,75,31.67,106.67
Mizoram,0,0,0,0,0,0,60,38,98
